RowID,State,CoC Name,CoC ID,HUD CoC Number,Year,Organization Name,Program Name,Program Type,Bed Type,Geo Code,Inventory Type,Target Population A,Target Population B,Mc Kinney-Vento,Beds for Households With Children,Units for Households With Children,Beds for Households Without Children,Beds for Households With Only Children,Total Year Round Beds,Chronically Homeless Beds,HMIS Beds for Households With Children,HMIS Beds for Households Without Children,HMIS Beds for Households With Only Children,Domestic Violence Beds,Total Seasonal Beds,Seasonal Beds Available in HMIS,Availability Start Date,Availability End Date,Overflow and Voucher Beds,HMIS Overflow and Voucher Beds,PIT Count,Total Beds
130263,CA,"Roseville/Rocklin/Placer, Nevada Counties CoC",979,CA-515,2012,Environmental Alternatives,Transitional Housing Placement Plus,TH,F,069057,C,SMF+HC,NA,FALSE,2,1,3,0,5,,0,0,0,,,,,,,,4,5
130260,CA,"Roseville/Rocklin/Placer, Nevada Counties CoC",979,CA-515,2012,Foothill House of Hospitality,Hospitality House,ES,O,069057,C,SMF+HC,NA,TRUE,2,1,34,0,36,,2,34,0,,,,,,2,2,36,38
130352,CA,"Roseville/Rocklin/Placer, Nevada Counties CoC",979,CA-515,2012,Foothill House of Hospitality,Hospitality House (at Utah's Place),ES,F,069057,U,SMF+HC,NA,TRUE,4,1,50,0,54,,,,,,,,,,,,,54
130234,CA,"Roseville/Rocklin/Placer, Nevada Counties CoC",979,CA-515,2012,Hope Help & Healing,Agape House,TH,F,069061,C,SM,NA,FALSE,0,0,6,0,6,,0,0,0,,,,,,,,3,6
130362,CA,"Roseville/Rocklin/Placer, Nevada Counties CoC",979,CA-515,2012,Hope Help & Healing,Reach House,TH,F,069061,N,SM,NA,FALSE,0,0,6,0,6,,0,0,0,,,,,,,,5,6
130368,CA,"Roseville/Rocklin/Placer, Nevada Counties CoC",979,CA-515,2012,Nevada County Behavioral Health,Winters' Haven,PSH,,069057,U,SMF,NA,TRUE,0,0,4,0,4,,,,,,,,,,,,,4
130250,CA,"Roseville/Rocklin/Placer, Nevada Counties CoC",979,CA-515,2012,New Leaf Counseling,Courage House:            Lincoln Way,TH,F,069061,C,SFHC,NA,FALSE,15,7,1,,16,,0,0,,,,,,,,,16,16
130235,CA,"Roseville/Rocklin/Placer, Nevada Counties CoC",979,CA-515,2012,New Leaf Counseling,Courage House:          College Way,TH,F,069061,C,SF,NA,FALSE,0,0,10,0,10,,0,0,0,,,,,,,,10,10
130239,CA,"Roseville/Rocklin/Placer, Nevada Counties CoC",979,CA-515,2012,PEACE for Families,Domestic Violence Safe House Program,ES,F,069061,C,SFHC,DV,FALSE,30,9,2,0,32,,,,,32,0,0,,,0,0,19,32
130236,CA,"Roseville/Rocklin/Placer, Nevada Counties CoC",979,CA-515,2012,PEACE for Families,Permanent Housing Program,TH,V,069061,C,SFHC,DV,TRUE,23,8,2,,25,,,,,25,,,,,,,25,25
130249,CA,"Roseville/Rocklin/Placer, Nevada Counties CoC",979,CA-515,2012,PEACE for Families,Recovery Program,TH,F,069061,C,SFHC,DV,FALSE,7,3,1,0,8,,,,,8,,,,,,,8,8
130278,CA,"Roseville/Rocklin/Placer, Nevada Counties CoC",979,CA-515,2012,Placer County Housing Authority - HHS,VASH-Placer County Housing Authority,PSH,,069061,C,SMF+HC,VET,FALSE,17,4,21,0,38,38,17,21,0,,,,,,,,38,38
130252,CA,"Roseville/Rocklin/Placer, Nevada Counties CoC",979,CA-515,2012,Re-Entry Program,Loomis House,TH,F,069061,C,SFHC,NA,FALSE,14,4,3,,17,,0,0,,,,,,,,,17,17
130255,CA,"Roseville/Rocklin/Placer, Nevada Counties CoC",979,CA-515,2012,Re-Entry Program,Round House,TH,F,069061,C,SM,NA,FALSE,0,0,7,0,7,,0,0,0,,,,,,,,7,7
130243,CA,"Roseville/Rocklin/Placer, Nevada Counties CoC",979,CA-515,2012,Re-Entry Program,Square House,TH,F,069061,C,SM,NA,FALSE,0,0,7,0,7,,0,0,0,,,,,,,,6,7
130237,CA,"Roseville/Rocklin/Placer, Nevada Counties CoC",979,CA-515,2012,Roseville Home Start,Roseville Home Start,TH,F,063108,C,HC,NA,TRUE,93,28,,,93,,93,,,,,,,,,,29,93
130246,CA,"Roseville/Rocklin/Placer, Nevada Counties CoC",979,CA-515,2012,Tahoe SAFE Alliance,Mount Rose Safe House,ES,F,069057,C,SFHC,DV,FALSE,7,2,3,,10,,,,,10,0,0,,,0,0,5,10
130267,CA,"Roseville/Rocklin/Placer, Nevada Counties CoC",979,CA-515,2012,The Gathering Inn,Interim Care Program,ES,F,069061,C,SMF,NA,FALSE,0,0,6,0,6,,0,6,0,,0,0,,,0,0,6,6
130245,CA,"Roseville/Rocklin/Placer, Nevada Counties CoC",979,CA-515,2012,The Gathering Inn,The Gathering Inn,ES,O,063108,C,SMF+HC,NA,FALSE,10,1,50,,60,,10,50,,,0,0,,,,,60,60
130258,CA,"Roseville/Rocklin/Placer, Nevada Counties CoC",979,CA-515,2012,The Lazarus Project,Hickory,TH,F,063108,C,SM,NA,TRUE,0,0,6,0,6,,0,6,0,,,,,,,,5,6
130238,CA,"Roseville/Rocklin/Placer, Nevada Counties CoC",979,CA-515,2012,The Lazarus Project,Schiele House,TH,F,063108,C,SF,NA,TRUE,0,0,6,0,6,,0,6,0,,,,,,,,6,6
130247,CA,"Roseville/Rocklin/Placer, Nevada Counties CoC",979,CA-515,2012,The Lazarus Project,Sierra House,TH,F,069061,C,SM,NA,TRUE,0,0,4,0,4,,0,4,0,,,,,,,,4,4
130242,CA,"Roseville/Rocklin/Placer, Nevada Counties CoC",979,CA-515,2012,The Lazarus Project,Somers House,TH,F,063108,C,SM,NA,TRUE,0,0,5,0,5,,0,5,0,,,,,,,,5,5
130259,CA,"Roseville/Rocklin/Placer, Nevada Counties CoC",979,CA-515,2012,The Salvation Army - Grass Valley Corps,Booth Family Center,ES,F,069057,C,HC,NA,TRUE,36,9,,,36,,36,,,,0,0,,,,,30,36
130265,CA,"Roseville/Rocklin/Placer, Nevada Counties CoC",979,CA-515,2012,The Salvation Army - Grass Valley Corps,HPRP,HPRP,,069057,C,SMF+HC,NA,FALSE,0,0,3,0,3,,0,3,0,,,,,,,,3,3
130256,CA,"Roseville/Rocklin/Placer, Nevada Counties CoC",979,CA-515,2012,Whole Person Learning,HOPE (Transitional Placement Program Plus),TH,V,063054,C,SMF+HC,NA,FALSE,2,1,4,,6,,0,0,,,,,,,,,6,6
130279,CA,"Roseville/Rocklin/Placer, Nevada Counties CoC",979,CA-515,2012,Women of Worth,Hetty's Haven (Emergency),ES,F,069057,C,SFHC,DV,FALSE,6,2,2,,8,,,,,8,0,0,,,2,0,8,10
130280,CA,"Roseville/Rocklin/Placer, Nevada Counties CoC",979,CA-515,2012,Women of Worth,Hetty's Haven (Transitional),TH,F,069057,C,SFHC,DV,FALSE,3,2,1,,4,,,,,4,,,,,,,4,4
102446,CA,Sacramento City & County CoC,1226,CA-503,2012,Clean and Sober,New Life,TH,F,069067,C,SMF,,FALSE,,,80,,80,,,0,,,,,,,,,80,80
102484,CA,Sacramento City & County CoC,1226,CA-503,2012,Department of Veteran's Affairs,VASH Vouchers,PSH,,062928,C,SMF+HC,VET,FALSE,45,30,115,,160,10,0,0,,,,,,,,,214,160
102427,CA,Sacramento City & County CoC,1226,CA-503,2012,Frances House,Emergency Hotel Vouchers,ES,V,063144,C,HC,,FALSE,0,0,0,0,0,,0,0,0,,0,0,,,16,,14,16
102428,CA,Sacramento City & County CoC,1226,CA-503,2012,Interfaith Network,Family Promise Center,ES,O,069067,C,HC,,FALSE,11,4,0,0,11,,0,0,0,,0,0,,,0,,11,11
102429,CA,Sacramento City & County CoC,1226,CA-503,2012,Loaves and Fishes,Sister Noras Place,ES,F,063144,C,SF,,FALSE,0,0,13,0,13,,0,0,0,,0,0,,,0,,14,13
131230,CA,Sacramento City & County CoC,1226,CA-503,2012,Lutheran Social Services,Achieving Community Change Together,PSH,,063144,U,SMF,,TRUE,,,33,,33,33,,,,,,,,,,,,33
102465,CA,Sacramento City & County CoC,1226,CA-503,2012,Lutheran Social Services,Adolfo PSH Program,PSH,,063144,C,SMF+HC,,TRUE,4,2,22,,26,0,4,22,,,,,,,,,27,26
102447,CA,Sacramento City & County CoC,1226,CA-503,2012,Lutheran Social Services,Connections,TH,F,063144,C,SMF+HC,,TRUE,12,6,6,,18,,12,6,,,,,,,,,20,18
102466,CA,Sacramento City & County CoC,1226,CA-503,2012,Lutheran Social Services,Mutual Housing At the Highlands,PSH,,069067,N,SMF,,TRUE,0,0,66,,66,21,,,,,,,,,,,66,66
102464,CA,Sacramento City & County CoC,1226,CA-503,2012,Lutheran Social Services,Saybrook Permanent Supportive Housing Project,PSH,,063144,C,SMF+HC,,TRUE,172,56,5,,177,0,172,5,,,,,,,,,172,177
102449,CA,Sacramento City & County CoC,1226,CA-503,2012,Lutheran Social Services,Transitional Housing Program For Families,TH,F,063144,C,HC,,TRUE,35,11,,,35,,35,,,,,,,,,,41,35
102448,CA,Sacramento City & County CoC,1226,CA-503,2012,Lutheran Social Services,Transitional Housing Program For Youth,TH,F,069067,C,SMF+HC,,TRUE,8,4,12,,20,,8,12,,,,,,,,,21,20
102468,CA,Sacramento City & County CoC,1226,CA-503,2012,Mercy Housing,Ardenaire Apartments,PSH,,063144,C,SMF+HC,,FALSE,6,3,16,,22,16,0,0,,,,,,,,,30,22
102469,CA,Sacramento City & County CoC,1226,CA-503,2012,Mercy Housing,Budget Inn,PSH,,063144,N,SMF,,TRUE,0,0,74,,74,14,,0,,,,,,,,,75,74
102467,CA,Sacramento City & County CoC,1226,CA-503,2012,Mercy Housing,The King Project,PSH,,063144,C,SMF,,TRUE,,,80,,80,45,,80,,,,,,,,,77,80
102450,CA,Sacramento City & County CoC,1226,CA-503,2012,Resources For Independent Living,Transitional Living Center,TH,V,063144,C,SMF,,TRUE,,,6,,6,,,6,,,,,,,,,6,6
102496,CA,Sacramento City & County CoC,1226,CA-503,2012,Sacramento Area Emergency Housing Center,Casa Serenes,PSH,,063144,C,SMF+HC,,TRUE,6,3,24,,30,0,6,24,,,,,,,,,35,30
102495,CA,Sacramento City & County CoC,1226,CA-503,2012,Sacramento Area Emergency Housing Center,Casas De Esperanza,PSH,,063144,C,SMF,,TRUE,,,18,,18,18,,18,,,,,,,,,18,18
102451,CA,Sacramento City & County CoC,1226,CA-503,2012,Sacramento Area Emergency Housing Center,Extended Shelter Program,TH,F,063144,C,SF,,FALSE,,,6,,6,,,6,,,,,,,,,3,6
102430,CA,Sacramento City & County CoC,1226,CA-503,2012,Sacramento Area Emergency Housing Center,Family Shelter,ES,F,063144,C,HC,,FALSE,55,13,0,0,55,,55,0,0,,0,0,,,0,,51,55
102503,CA,Sacramento City & County CoC,1226,CA-503,2012,Sacramento Area Emergency Housing Center,Home At Last,PSH,,063144,U,SMF,,TRUE,,,22,,22,22,,,,,,,,,,,,22
102493,CA,Sacramento City & County CoC,1226,CA-503,2012,Sacramento Area Emergency Housing Center,Motel Voucher Program,ES,V,063144,C,HC,,FALSE,0,0,0,0,0,,0,0,0,,48,48,11/21/11 0:00,3/31/12 0:00,,,78,48
102470,CA,Sacramento City & County CoC,1226,CA-503,2012,Sacramento Area Emergency Housing Center,Omega  Permanent Supportive Housing  Project,PSH,,063144,C,SMF+HC,,TRUE,42,15,15,,57,1,42,15,,,,,,,,,68,57
102471,CA,Sacramento City & County CoC,1226,CA-503,2012,Sacramento Area Emergency Housing Center,Omega Expansion,PSH,,063144,C,HC,,TRUE,21,7,,,21,0,21,,,,,,,,,,20,21
102485,CA,Sacramento City & County CoC,1226,CA-503,2012,Sacramento Area Emergency Housing Center,Winter Overflow Shelter,ES,F,063144,C,HC,,FALSE,,,0,,0,,,0,,,22,22,11/21/11 0:00,3/31/12 0:00,,,29,22
102431,CA,Sacramento City & County CoC,1226,CA-503,2012,Sacramento Area Emergency Housing Center,Women's Refuge,ES,F,063144,C,SF,,FALSE,,,10,,10,,,10,,,0,0,,,,,10,10
102452,CA,Sacramento City & County CoC,1226,CA-503,2012,Sacramento Children's Home,Sacramento Crisis Nursery,TH,F,069067,C,HC,,TRUE,4,1,,,4,,4,,,,,,,,,,5,4
102453,CA,Sacramento City & County CoC,1226,CA-503,2012,Sacramento Cottage Housing,Quinn Cottages,TH,F,063144,C,SMF+HC,,TRUE,20,10,50,,70,,20,50,,,,,,,,,61,70
102472,CA,Sacramento City & County CoC,1226,CA-503,2012,Sacramento Cottage Housing Inc.,McClellan Park Permanent Supportive Housing,PSH,,069067,C,HC,,TRUE,284,83,,,284,0,284,,,,,,,,,,268,284
102473,CA,Sacramento City & County CoC,1226,CA-503,2012,Sacramento County Department of Human Assistance,Shelter Plus Care,PSH,,063144,C,SMF+HC,,TRUE,262,79,633,,895,68,262,633,,,,,,,,,633,895
102432,CA,Sacramento City & County CoC,1226,CA-503,2012,Sacramento Self Help Housing,Cathedral/ Downtown Housing,ES,F,063144,C,SMF,,FALSE,,,5,,5,,,0,,,0,0,,,0,,8,5
102475,CA,Sacramento City & County CoC,1226,CA-503,2012,Sacramento Self Help Housing,Friendship Housing,PSH,,063144,C,SMF,,TRUE,,,24,,24,24,,24,,,,,,,,,25,24
102476,CA,Sacramento City & County CoC,1226,CA-503,2012,Sacramento Self Help Housing,Friendship Housing Expansion,PSH,,063144,C,SMF,,TRUE,,,40,,40,40,,40,,,,,,,,,41,40
102492,CA,Sacramento City & County CoC,1226,CA-503,2012,Sacramento Self Help Housing,T-3 Program,ES,F,063144,C,SMF,,FALSE,,,10,,10,,,0,,,,,,,,,10,10
102497,CA,Sacramento City & County CoC,1226,CA-503,2012,Sacramento Self Help Housing,T-3 Program,ES,F,063144,N,SMF,,FALSE,,,1,,1,,,0,,,,,,,,,1,1
102504,CA,Sacramento City & County CoC,1226,CA-503,2012,Salvation Army,Salvation Army Veteran's,ES,F,063144,C,SM,VET,FALSE,,,13,,13,,,0,,,0,,,,,,11,13
102477,CA,Sacramento City & County CoC,1226,CA-503,2012,Shasta Hotel Cooperative,Shasta Hotel SRA,PSH,,063144,C,SMF,,TRUE,,,18,,18,17,,18,,,,,,,,,18,18
102482,CA,Sacramento City & County CoC,1226,CA-503,2012,St. John's,Program For Women and Children,PSH,,069067,C,HC,,TRUE,30,8,,,30,0,30,,,,,,,,,,44,30
102500,CA,Sacramento City & County CoC,1226,CA-503,2012,St. John's,Program For Women and Children (Non-HUD),PSH,,069067,C,SFHC,,FALSE,4,1,0,,4,0,4,0,,,,,,,,,4,4
131139,CA,Sacramento City & County CoC,1226,CA-503,2012,St. John's,Program For Women and Children (Non-HUD),PSH,,069067,N,SFHC,,FALSE,27,9,,,27,0,27,,,,,,,,,,27,27
102433,CA,Sacramento City & County CoC,1226,CA-503,2012,St. John's Shelter,Emergency Shelter Program,ES,F,063144,C,SFHC,,FALSE,72,11,40,0,112,,72,40,0,,0,0,,,0,,95,112
102435,CA,Sacramento City & County CoC,1226,CA-503,2012,The Salvation Army,Interim Care Program,ES,F,063144,C,SMF,,FALSE,,,28,,28,,,28,,,0,0,,,0,,28,28
102434,CA,Sacramento City & County CoC,1226,CA-503,2012,The Salvation Army,Lodge Program,ES,F,063144,C,SMF,,TRUE,,,65,,65,,,65,,,0,0,,,,,71,65
131000,CA,Sacramento City & County CoC,1226,CA-503,2012,The Salvation Army,Transitional Living Program,TH,F,063144,N,HC,,FALSE,105,35,,,105,,0,,,,,,,,,,95,105
102436,CA,Sacramento City & County CoC,1226,CA-503,2012,Transitional Living and Community Support,Carol's Place,ES,F,063144,C,SMF,,FALSE,,,22,,22,,,22,,,0,0,,,0,,19,22
131407,CA,Sacramento City & County CoC,1226,CA-503,2012,Transitional Living and Community Support,DREAM Permanent Housing Program,PSH,,063144,U,SMF,,TRUE,,,43,,43,43,,,,,,,,,,,,43
102483,CA,Sacramento City & County CoC,1226,CA-503,2012,Transitional Living and Community Support,Folsom Oaks,PSH,,069067,N,SMF,,FALSE,18,5,,,18,0,0,,,,,,,,,,18,18
102489,CA,Sacramento City & County CoC,1226,CA-503,2012,Transitional Living and Community Support,MICA,TH,F,063144,C,HC,,TRUE,9,3,,,9,,9,,,,,,,,,,4,9
102487,CA,Sacramento City & County CoC,1226,CA-503,2012,Transitional Living and Community Support,PACT Permanent housing Program (PPHP),PSH,,063144,C,SMF,,TRUE,,,8,,8,8,,8,,,,,,,,,8,8
102457,CA,Sacramento City & County CoC,1226,CA-503,2012,Transitional Living and Community Support,Palmer Apartments,TH,F,063144,C,SMF,,FALSE,,,48,,48,,,48,,,,,,,,,44,48
102486,CA,Sacramento City & County CoC,1226,CA-503,2012,Transitional Living and Community Support,T Street Co-op,PSH,,063144,C,SMF,HIV,FALSE,,,9,,9,0,,9,,,,,,,,,9,9
102478,CA,Sacramento City & County CoC,1226,CA-503,2012,Transitional Living and Community Support,Widening Opportunities For Rehabilitation and Knowledge,PSH,,063144,C,SMF+HC,,TRUE,,,25,,25,0,,25,,,,,,,,,23,25
131391,CA,Sacramento City & County CoC,1226,CA-503,2012,Transitional Living and Community Support,WISH Permanent Housing Program,PSH,,063144,U,SMF,,TRUE,,,20,,20,,,,,,,,,,,,,20
102437,CA,Sacramento City & County CoC,1226,CA-503,2012,Traveler's Aid,Emergency Motel Vouchers for Families,ES,V,063144,C,HC,,FALSE,0,0,,,0,,0,,,,0,0,,,10,,18,10
102458,CA,Sacramento City & County CoC,1226,CA-503,2012,Traveler's Aid,Families Beyond Transition,TH,V,069067,C,HC,,TRUE,52,15,,,52,,52,,,,,,,,,,65,52
102479,CA,Sacramento City & County CoC,1226,CA-503,2012,Turning Point Community Programs,Pathways,PSH,,069067,C,SMF+HC,,FALSE,,,40,,40,40,,0,,,,,,,,,36,40
102481,CA,Sacramento City & County CoC,1226,CA-503,2012,Turning Point Community Programs,YWCA,PSH,,063144,C,SF,,FALSE,,,11,,11,0,,0,,,,,,,,,11,11
102438,CA,Sacramento City & County CoC,1226,CA-503,2012,Union Gospel Mission,Emergency Shelter,ES,F,063144,C,SM,,FALSE,,,84,,84,,,0,,,0,0,,,0,,82,84
102454,CA,Sacramento City & County CoC,1226,CA-503,2012,Vietnam Veterans of California,GDP Sacramento Veterans Resource Center,TH,F,069067,C,SM,VET,TRUE,,,30,,30,,,0,,,,,,,,,30,30
102455,CA,Sacramento City & County CoC,1226,CA-503,2012,Vietnam Veterans of California,GDP Women's Transitional Housing,TH,F,069067,C,SFHC,VET,FALSE,,,6,,6,,,0,,,,,,,,,6,6
102456,CA,Sacramento City & County CoC,1226,CA-503,2012,Vietnam Veterans of California,GPD - Behavioral Health Center,TH,F,069067,C,SM,VET,FALSE,,,22,,22,,,0,,,,,,,,,18,22
102490,CA,Sacramento City & County CoC,1226,CA-503,2012,Volunteers of America,Adolfo THP-Plus Housing For Foster Youth,TH,F,069067,C,SMF+HC,,FALSE,33,11,25,,58,,33,25,,,,,,,,,80,58
102488,CA,Sacramento City & County CoC,1226,CA-503,2012,Volunteers of America,Adolfo Transitional Housing for Foster Youth (HUD),TH,F,062928,C,SMF,,TRUE,,,10,,10,,,10,,,,,,,,,10,10
102440,CA,Sacramento City & County CoC,1226,CA-503,2012,Volunteers of America,Bannon Street Family Emergency Shelter,ES,F,063144,C,HC,,FALSE,62,15,,,62,,62,,,,0,0,,,0,,31,62
131399,CA,Sacramento City & County CoC,1226,CA-503,2012,Volunteers of America,Coming Home,PSH,,063144,U,HC,VET,TRUE,88,26,,,88,,,,,,,,,,,,,88
102459,CA,Sacramento City & County CoC,1226,CA-503,2012,Volunteers of America,Independent Living and Readiness Program,TH,F,063144,C,SMF,,FALSE,,,100,,100,,,100,,,,,,,,,71,100
102494,CA,Sacramento City & County CoC,1226,CA-503,2012,Volunteers of America,Mather Community Campus,TH,F,062928,C,SMF+HC,,TRUE,146,60,167,,313,,146,167,,,,,,,,,339,313
102439,CA,Sacramento City & County CoC,1226,CA-503,2012,Volunteers of America,North A Street Emergency Shelter,ES,F,063144,C,SM,,TRUE,,,80,,80,,,80,,,0,0,,,0,,80,80
102480,CA,Sacramento City & County CoC,1226,CA-503,2012,Volunteers of America,NOVA House Permanent Supportive Housing Project,PSH,,063144,C,SMF,,TRUE,,,12,,12,12,,12,,,,,,,,,10,12
102441,CA,Sacramento City & County CoC,1226,CA-503,2012,Volunteers of America,Open Arms,ES,F,063144,C,SMF,HIV,FALSE,,,12,,12,,,12,,,0,0,,,0,,11,12
131382,CA,Sacramento City & County CoC,1226,CA-503,2012,Volunteers of America,Veterans Supportive Housing,PSH,,063144,U,SMF,VET,TRUE,,,12,,12,12,,,,,,,,,,,,12
130226,CA,Sacramento City & County CoC,1226,CA-503,2012,Volunteers of America,Winter Sanctuary,ES,O,063144,N,SMF,,FALSE,,,,,0,,,,,,100,0,12/1/11 0:00,3/31/12 0:00,,,103,100
102442,CA,Sacramento City & County CoC,1226,CA-503,2012,Volunteers of America,Winter Shelter Program,ES,F,063144,C,SM,,FALSE,,,0,,0,,,0,,,28,28,11/21/11 0:00,3/31/12 0:00,,,19,28
102460,CA,Sacramento City & County CoC,1226,CA-503,2012,Waking The Village,Tubman House,TH,F,069067,C,SMF+HC,,FALSE,19,8,,,19,,0,,,,,,,,,,19,19
102443,CA,Sacramento City & County CoC,1226,CA-503,2012,WIND,Youth Center,ES,F,063144,C,YMF,,FALSE,12,1,,,12,,,,,,,,,,,,5,12
102444,CA,Sacramento City & County CoC,1226,CA-503,2012,Women Escaping A Violent Environment,Emergency Shelter Program,ES,F,069067,C,SFHC,DV,FALSE,30,9,24,,54,,,,,54,0,0,,,0,,40,54
104030,CA,"Salinas/Monterey, San Benito Counties CoC",1156,CA-506,2012,Central Coast HIV-AIDS Services (John XXIII),Calm Waters,PSH,,063162,C,SMF+HC,HIV,FALSE,6,2,6,,12,0,6,6,,,,,,,,,0,12
104029,CA,"Salinas/Monterey, San Benito Counties CoC",1156,CA-506,2012,Central Coast HIV-AIDS Services (John XXIII),Casa de Paz,PSH,,063162,C,SMF+HC,HIV,TRUE,4,2,10,,14,0,4,10,,,,,,,,,0,14
104028,CA,"Salinas/Monterey, San Benito Counties CoC",1156,CA-506,2012,Central Coast HIV-AIDS Services (John XXIII),Safe Shelter,PSH,,063162,C,HC,HIV,FALSE,12,2,,,12,0,12,,,,,,,,,,0,12
104009,CA,"Salinas/Monterey, San Benito Counties CoC",1156,CA-506,2012,Community Human Services,Elm House,TH,F,063444,C,SF,,FALSE,,,6,,6,,,6,,,,,,,,,6,6
104010,CA,"Salinas/Monterey, San Benito Counties CoC",1156,CA-506,2012,Community Human Services,Safe Passage,TH,F,062334,C,SMF,,TRUE,,,6,,6,,,6,,,,,,,,,5,6
103998,CA,"Salinas/Monterey, San Benito Counties CoC",1156,CA-506,2012,Community Human Services,Safe Place,ES,F,062334,C,SMF,NA,FALSE,0,0,4,0,4,,0,4,0,,0,0,,,0,,0,4
104036,CA,"Salinas/Monterey, San Benito Counties CoC",1156,CA-506,2012,Emmaus House,Emmaus House,ES,F,069069,C,HC,DV,FALSE,29,5,,,29,,,,,29,,,,,,,15,29
103999,CA,"Salinas/Monterey, San Benito Counties CoC",1156,CA-506,2012,Franciscan Workers,Women Alive!,ES,F,063162,C,SF,,FALSE,0,0,16,0,16,,0,16,0,,0,0,,,9,9,25,25
104038,CA,"Salinas/Monterey, San Benito Counties CoC",1156,CA-506,2012,Homeless Coalition of San Benito County,Marley Holte Winter Shelter,ES,F,069069,C,SMF,,FALSE,,,,,0,,,,,,24,24,11/1/11 0:00,3/31/12 0:00,,,15,24
104037,CA,"Salinas/Monterey, San Benito Counties CoC",1156,CA-506,2012,Homeless Winter Shelter for Families,Homeless Winter Shelter for Families,ES,F,069069,C,HC,,FALSE,,,,,0,,,,,,60,60,11/1/11 0:00,3/31/12 0:00,22,22,82,82
104012,CA,"Salinas/Monterey, San Benito Counties CoC",1156,CA-506,2012,Housing Authority,Pueblo Del Mar,TH,F,069053,C,HC,,TRUE,216,46,,,216,,216,,,,,,,,,,132,216
104022,CA,"Salinas/Monterey, San Benito Counties CoC",1156,CA-506,2012,Housing Authority,S+C II,PSH,,063162,C,SMF,,TRUE,,,14,,14,0,,14,,,,,,,,,0,14
104025,CA,"Salinas/Monterey, San Benito Counties CoC",1156,CA-506,2012,Interim Inc.,Acacia House,PSH,,063162,C,SMF,,FALSE,,,6,,6,0,,0,,,,,,,,,0,6
104023,CA,"Salinas/Monterey, San Benito Counties CoC",1156,CA-506,2012,Interim Inc.,Casa de Paloma,PSH,,063162,C,SMF,,FALSE,,,6,,6,0,,0,,,,,,,,,0,6
104000,CA,"Salinas/Monterey, San Benito Counties CoC",1156,CA-506,2012,Interim Inc.,Manzanita House,ES,F,063162,C,SMF,NA,FALSE,0,0,15,0,15,,0,0,0,,0,0,,,0,,15,15
104015,CA,"Salinas/Monterey, San Benito Counties CoC",1156,CA-506,2012,Interim Inc.,McHOME - Lexington Court,TH,F,069053,C,SMF,NA,FALSE,,,12,,12,,,12,,,,,,,,,12,12
104039,CA,"Salinas/Monterey, San Benito Counties CoC",1156,CA-506,2012,Interim Inc.,MCHOPE,PSH,,069053,U,SMF,,TRUE,0,,7,,7,0,,,,,,,,,,,,7
104024,CA,"Salinas/Monterey, San Benito Counties CoC",1156,CA-506,2012,Interim Inc.,Sandy Shores,PSH,,069053,C,SMF,,TRUE,,,28,,28,0,,28,,,,,,,,,0,28
104013,CA,"Salinas/Monterey, San Benito Counties CoC",1156,CA-506,2012,Interim Inc.,Shelter Cove,TH,F,069053,C,SMF,,TRUE,,,36,,36,,,36,,,,,,,,,34,36
104034,CA,"Salinas/Monterey, San Benito Counties CoC",1156,CA-506,2012,Interim Inc.,Soledad House,TH,F,063162,C,SMF,,FALSE,,,4,,4,,,0,,,,,,,,,4,4
104014,CA,"Salinas/Monterey, San Benito Counties CoC",1156,CA-506,2012,Interim Inc.,Sunflower Gardens,TH,F,063162,C,SMF,,FALSE,,,2,,2,,,2,,,,,,,,,2,2
124498,CA,"Salinas/Monterey, San Benito Counties CoC",1156,CA-506,2012,"Interim, Inc.",Sunflower Gardens - PSH,PSH,,063162,C,SMF,,FALSE,,,21,,21,,,,,,,,,,,,0,21
104020,CA,"Salinas/Monterey, San Benito Counties CoC",1156,CA-506,2012,Pajaro Rescue Mission,Crisis Induction Center,TH,F,069053,C,SM,,FALSE,,,30,,30,,,0,,,,,,,,,30,30
104001,CA,"Salinas/Monterey, San Benito Counties CoC",1156,CA-506,2012,Pajaro Rescue Mission,Pajaro Mens Center,TH,F,069053,C,SM,NA,FALSE,,,35,,35,,,0,,,,,,,,,30,35
104002,CA,"Salinas/Monterey, San Benito Counties CoC",1156,CA-506,2012,Pajaro Rescue Mission,Pajaro Rescue Mission,ES,F,069053,C,SM,NA,FALSE,,,30,,30,,,0,,,0,0,,,0,,23,30
104032,CA,"Salinas/Monterey, San Benito Counties CoC",1156,CA-506,2012,Salvation Army,Frederikson House,ES,F,063444,C,HC,NA,FALSE,16,3,,,16,,16,,,,,,,,,,10,16
104004,CA,"Salinas/Monterey, San Benito Counties CoC",1156,CA-506,2012,SOPlus,Hamilton,ES,F,063444,C,SFHC,NA,FALSE,12,2,5,,17,,12,5,,,0,0,,,0,,19,17
104017,CA,"Salinas/Monterey, San Benito Counties CoC",1156,CA-506,2012,SOPlus,Homeward Bound - Lexington Court,TH,F,069053,C,HC,,TRUE,24,3,,,24,,24,,,,,,,,,,14,24
104016,CA,"Salinas/Monterey, San Benito Counties CoC",1156,CA-506,2012,SOPlus,Homeward Bound - Wittenmeyer Court,TH,F,069053,C,SFHC,,TRUE,112,23,4,,116,,112,4,,,,,,,,,62,116
